#Zinb
#yaml:
#    date: 2023-01-18 12:15:22
#    transit_version: v4.0.0
#    app_or_command_line: app
#    console_command: transit 
#    calculation_time: 37.7seconds
#    analysis_type: Zinb
#    files:
#       combined_wig: /Users/jeffhykin/repos/transit/src/pytransit/../..//src/pytransit/data/cholesterol_glycerol.transit/comwig.tsv
#       annotation_path: /Users/jeffhykin/repos/transit/src/pytransit/../..//src/pytransit/data/cholesterol_glycerol.transit/annotation.H37Rv.prot_table
#    parameters:
#       normalization: TTR
#       n_terminus: 0.0
#       c_terminus: 0.0
#       pseudocount: 5.0
#       should_append_gene_descriptions: true
#    group_names: [Cholesterol, Glycerol]
#    lfc_columns: [Log 2 FC Cholesterol, Log 2 FC Glycerol]
#    mean_columns: [Mean Cholesterol, Mean Glycerol]
#    summary_info:
#       Hits: 100
#    
#Rv	Gene	TA Sites	Mean Cholesterol	Mean Glycerol	Log 2 FC Cholesterol	Log 2 FC Glycerol	Non Zero Mean Cholesterol	Non Zero Mean Glycerol	Non Zero Percentage Cholesterol	Non Zero Percentage Glycerol	P Value	Adj P Value	Status	Gene Annotation
Rv2310	-	3	41.9	80.5	-0.497	0.369	62.8	120.7	0.67	0.67	0.399014312662289	1.0	-	POSSIBLE EXCISIONASE 
Rv2311	-	7	218.0	360.3	-0.400	0.313	241.0	360.3	0.90	1.00	0.0303646382309632	0.4326960947912256	-	hypothetical protein Rv2311 
Rv2312	-	3	372.0	126.1	0.569	-0.955	558.0	151.3	0.67	0.83	0.0367548698040997	0.47003823884089035	-	hypothetical protein Rv2312 
Rv2313c	-	10	436.4	371.5	0.110	-0.119	654.6	571.6	0.67	0.65	0.749467115354195	1.0	-	hypothetical protein Rv2313c 
Rv2314c	-	16	183.4	140.4	0.175	-0.199	352.2	320.9	0.52	0.44	0.264338246722201	1.0	-	hypothetical protein Rv2314c 
Rv2315c	-	33	93.8	54.7	0.318	-0.409	238.1	164.0	0.39	0.33	0.388754272037428	1.0	-	hypothetical protein Rv2315c 
Rv2316	uspA	13	80.7	85.1	-0.037	0.036	209.7	184.3	0.38	0.46	0.791442765410509	1.0	-	PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER USPA 
Rv2317	uspB	14	3.1	1.1	0.190	-0.219	64.6	30.2	0.05	0.04	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	PROBABLE SUGAR-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER USPB 
Rv2318	uspC	30	42.7	34.2	0.135	-0.149	192.3	136.9	0.22	0.25	0.995133129642338	1.0	-	PROBABLE PERIPLASMIC SUGAR-BINDING LIPOPROTEIN USPC 
Rv2319c	-	19	52.8	66.9	-0.166	0.149	176.9	181.5	0.30	0.37	0.6332356690059	1.0	-	hypothetical protein Rv2319c 
Rv2320c	rocE	28	138.9	120.3	0.097	-0.103	243.1	182.1	0.57	0.66	0.84373285870113	1.0	-	PROBABLE CATIONIC AMINO ACID TRANSPORT INTEGRAL MEMBRANE PROTEIN ROCE 
Rv2321c	rocD2	9	65.2	40.7	0.277	-0.343	160.0	104.5	0.41	0.39	0.91925792202685	1.0	-	PROBABLE ORNITHINE AMINOTRANSFERASE (C-terminus part) ROCD2 (ORNITHINE--OXO-ACID AMINOTRANSFERASE) 
Rv2322c	rocD1	10	44.8	47.5	-0.038	0.037	149.5	189.9	0.30	0.25	0.183399681272653	0.9416832359444095	-	PROBABLE ORNITHINE AMINOTRANSFERASE (N-terminus part) ROCD1 (ORNITHINE--OXO-ACID AMINOTRANSFERASE) 
Rv2323c	-	22	101.6	113.8	-0.081	0.076	203.1	192.6	0.50	0.59	0.627184849182466	1.0	-	hypothetical protein Rv2323c 
Rv2324	-	2	65.5	69.0	-0.035	0.035	130.9	275.9	0.50	0.25	0.164776552062734	0.92366354577705	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ASNC-FAMILY) 
Rv2325c	-	9	27.1	33.7	-0.141	0.128	104.7	101.2	0.26	0.33	0.824756779391087	1.0	-	hypothetical protein Rv2325c 
Rv2326c	-	23	194.4	212.7	-0.065	0.062	352.9	296.5	0.55	0.72	0.339397630800751	1.0	-	POSSIBLE TRANSMEMBRANE ATP-BINDING PROTEIN ABC TRANSORTER 
Rv2327	-	5	47.0	29.8	0.261	-0.319	117.5	59.6	0.40	0.50	0.808189800206961	1.0	-	hypothetical protein Rv2327 
Rv2328	PE23	12	180.9	220.9	-0.148	0.134	283.1	265.1	0.64	0.83	0.256971463654396	1.0	-	PE FAMILY PROTEIN 
Rv2329c	narK1	28	213.7	268.9	-0.171	0.153	304.2	350.1	0.70	0.77	0.0962687224877731	0.7458489373324557	-	PROBABLE NITRITE EXTRUSION PROTEIN 1 NARK1 (NITRITE FACILITATOR 1) 
Rv2330c	lppP	7	125.9	106.8	0.109	-0.118	203.3	213.6	0.62	0.50	0.683061353544117	1.0	-	PROBABLE LIPOPROTEIN LPPP 
Rv2331	-	6	210.7	97.5	0.439	-0.635	270.9	129.9	0.78	0.75	0.661955779050409	1.0	-	hypothetical protein Rv2331 
Rv2331A	-	5	440.7	327.7	0.196	-0.226	550.9	409.6	0.80	0.80	0.955878293048168	1.0	-	hypothetical protein Rv2331A 
Rv2332	mez	28	159.4	134.1	0.116	-0.126	297.6	203.0	0.54	0.66	0.65701973550271	1.0	-	PROBABLE 
Rv2333c	-	21	231.2	287.9	-0.163	0.147	346.8	377.9	0.67	0.76	0.326130704086894	1.0	-	PROBABLE CONSERVED INTEGRAL MEMBRANE TRANSPORT PROTEIN 
Rv2334	cysK1	14	22.2	22.5	-0.009	0.009	77.7	126.3	0.29	0.18	0.2842352247993	1.0	-	PROBABLE CYSTEINE SYNTHASE A CYSK1 (O-ACETYLSERINE SULFHYDRYLASE A) (O-ACETYLSERINE (THIOL)-LYASE A) (CSASE A) 
Rv2335	cysE	6	52.2	1.7	0.841	-2.264	156.7	9.9	0.33	0.17	0.0601459865194052	0.6142291116367272	-	PROBABLE SERINE ACETYLTRANSFERASE CYSE (SAT) 
Rv2336	-	29	15.4	19.2	-0.127	0.117	79.1	85.8	0.20	0.22	0.492393675459236	1.0	-	hypothetical protein Rv2336 
Rv2337c	-	10	176.7	123.7	0.228	-0.270	294.5	190.3	0.60	0.65	0.999835654833057	1.0	-	hypothetical protein Rv2337c 
Rv2338c	moeW	38	28.4	19.5	0.206	-0.241	170.5	78.0	0.17	0.25	0.371641335296683	1.0	-	hypothetical protein Rv2338c 
Rv2339	mmpL9	82	66.3	66.7	-0.004	0.004	251.1	273.7	0.26	0.24	0.0559374170178417	0.5967654917144074	-	PROBABLE CONSERVED TRANSMEMBRANE TRANSPORT PROTEIN MMPL9 
Rv2340c	PE_PGRS39	16	352.4	390.4	-0.075	0.071	445.1	446.2	0.79	0.88	0.429819144674837	1.0	-	PE-PGRS FAMILY PROTEIN 
Rv2341	lppQ	4	525.7	699.4	-0.219	0.190	700.9	699.4	0.75	1.00	0.16251160426388	0.9209128739063291	-	PROBABLE CONSERVED LIPOPROTEIN LPPQ 
Rv2342	-	4	33.1	107.2	-0.980	0.578	132.4	142.9	0.25	0.75	0.0868684532226075	0.7146497491921731	-	hypothetical protein Rv2342 
Rv2343c	dnaG	26	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	DNA primase 
Rv2344c	dgt	27	59.2	108.9	-0.472	0.355	126.2	226.1	0.47	0.48	0.0175534491797231	0.3126708135138177	-	deoxyguanosinetriphosphate triphosphohydrolase-like protein 
Rv2345	-	29	297.3	346.6	-0.113	0.105	349.5	379.3	0.85	0.91	0.0233623668625232	0.3699041419899507	-	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN 
Rv2346c	esxO	3	117.3	224.9	-0.526	0.384	150.9	224.9	0.78	1.00	0.184495488661202	0.9416832359444095	-	PUTATIVE ESAT-6 LIKE PROTEIN ESXO (ESAT-6 LIKE PROTEIN 6) 
Rv2347c	esxP	3	73.8	285.2	-1.228	0.654	73.8	285.2	1.00	1.00	0.0118190649100607	0.24434232637897507	-	PUTATIVE ESAT-6 LIKE PROTEIN ESXP (ESAT-6 LIKE PROTEIN 7) 
Rv2348c	-	2	280.0	78.2	0.630	-1.146	336.0	104.3	0.83	0.75	0.649159253806832	1.0	-	hypothetical protein Rv2348c 
Rv2349c	plcC	28	350.4	415.9	-0.127	0.117	439.4	541.6	0.80	0.77	0.0105664124436867	0.2341346249611235	-	PROBABLE PHOSPHOLIPASE C 3 PLCC 
Rv2350c	plcB	23	255.8	126.3	0.412	-0.578	360.2	166.0	0.71	0.76	0.456988603457468	1.0	-	PROBABLE MEMBRANE-ASSOCIATED PHOSPHOLIPASE C 2 PLCB 
Rv2351c	plcA	25	460.7	468.0	-0.011	0.011	617.1	615.7	0.75	0.76	0.5614015157042	1.0	-	PROBABLE MEMBRANE-ASSOCIATED PHOSPHOLIPASE C 1 PLCA (MTP40 ANTIGEN) 
Rv2352c	PPE38	16	632.4	555.6	0.090	-0.096	659.9	555.6	0.96	1.00	0.310917478098091	1.0	-	PPE FAMILY PROTEIN 
Rv2353c	PPE39	24	20.4	18.3	0.061	-0.064	133.9	97.7	0.15	0.19	0.991976718904875	1.0	-	PPE FAMILY PROTEIN 
Rv2354	-	4	216.6	154.4	0.218	-0.257	259.9	154.4	0.83	1.00	0.39830622163272	1.0	-	PROBABLE TRANSPOSASE 
Rv2355	-	25	187.9	122.8	0.267	-0.328	207.3	133.5	0.91	0.92	0.922246847216724	1.0	-	PROBABLE TRANSPOSASE 
Rv2356c	PPE40	30	124.9	108.7	0.093	-0.099	340.7	260.9	0.37	0.42	0.961823816195848	1.0	-	PPE FAMILY PROTEIN 
Rv2357c	glyS	31	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	glycyl-tRNA synthetase 
Rv2358	-	5	5.7	30.9	-1.119	0.622	43.1	154.7	0.13	0.20	0.232752013365062	1.0	-	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ARSR-FAMILY) 
Rv2359	furB	5	6.1	0.6	0.414	-0.584	30.6	5.7	0.20	0.10	0.0275682261734125	0.4045315306106246	-	PROBABLE FERRIC UPTAKE REGULATION PROTEIN FURB 
Rv2360c	-	6	145.5	97.8	0.249	-0.302	201.5	117.3	0.72	0.83	0.730171748276963	1.0	-	hypothetical protein Rv2360c 
Rv2361c	-	17	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	LONG (C50) CHAIN Z-ISOPRENYL DIPHOSPHATE SYNTHASE (Z-DECAPRENYL DIPHOSPHATE SYNTHASE) 
Rv2362c	recO	11	4.6	20.3	-0.865	0.537	50.2	89.2	0.09	0.23	0.440017762744617	1.0	-	DNA repair protein RecO 
Rv2363	amiA2	17	34.9	26.4	0.163	-0.184	148.4	112.0	0.24	0.24	0.901986502841413	1.0	-	amidase 
Rv2364c	era	15	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	GTP-binding protein Era 
Rv2365c	-	4	36.0	74.6	-0.557	0.401	72.0	99.5	0.50	0.75	0.447641919900024	1.0	-	hypothetical protein Rv2365c 
Rv2366c	-	22	84.5	99.7	-0.118	0.109	242.6	243.8	0.35	0.41	0.575647275663637	1.0	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 
Rv2367c	-	9	90.4	55.6	0.290	-0.364	305.1	166.9	0.30	0.33	0.9715819765126	1.0	-	hypothetical protein Rv2367c 
Rv2368c	phoH1	17	242.6	213.8	0.086	-0.092	294.6	250.7	0.82	0.85	0.725559403019135	1.0	-	PROBABLE PHOH-LIKE PROTEIN PHOH1 (PHOSPHATE STARVATION-INDUCIBLE PROTEIN PSIH) 
Rv2369c	-	3	75.7	23.2	0.568	-0.949	97.3	27.8	0.78	0.83	0.449469205381294	1.0	-	hypothetical protein Rv2369c 
Rv2370c	-	20	133.2	194.8	-0.290	0.241	199.8	288.5	0.67	0.68	0.067362019567803	0.6512967899892788	-	hypothetical protein Rv2370c 
Rv2371	PE_PGRS40	1	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	TA sites <= 1, not analyzed	PE-PGRS FAMILY PROTEIN 
Rv2372c	-	6	201.9	277.8	-0.243	0.208	330.3	333.3	0.61	0.83	0.389922259807357	1.0	-	hypothetical protein Rv2372c 
Rv2373c	dnaJ2	10	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE CHAPERONE PROTEIN DNAJ2 
Rv2374c	hrcA	23	25.6	6.4	0.544	-0.883	353.9	58.8	0.07	0.11	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	heat-inducible transcription repressor 
Rv2375	-	9	471.1	153.9	0.585	-0.999	553.0	184.7	0.85	0.83	0.241116828404615	1.0	-	hypothetical protein Rv2375 
Rv2376c	cfp2	2	244.0	284.5	-0.113	0.105	244.0	284.5	1.00	1.00	0.810811132625133	1.0	-	LOW MOLECULAR WEIGHT ANTIGEN CFP2 (LOW MOLECULAR WEIGHT PROTEIN ANTIGEN 2) (CFP-2) 
Rv2377c	mbtH	2	4.8	0.0	0.407	-0.569	29.0	0.0	0.17	0.00	0.289504237572052	1.0	-	PUTATIVE CONSERVED PROTEIN MBTH 
Rv2378c	mbtG	9	22.5	49.0	-0.566	0.405	76.0	110.2	0.30	0.44	0.47419623184518	1.0	-	LYSINE-N-OXYGENASE MBTG (L-LYSINE 6-MONOOXYGENASE) (LYSINE N6-HYDROXYLASE) 
Rv2379c	mbtF	64	11.2	9.8	0.062	-0.065	61.2	54.5	0.18	0.18	0.616585549774098	1.0	-	PEPTIDE SYNTHETASE MBTF (PEPTIDE SYNTHASE) 
Rv2380c	mbtE	79	13.3	14.6	-0.051	0.049	80.6	59.1	0.16	0.25	0.455352660371437	1.0	-	PEPTIDE SYNTHETASE MBTE (PEPTIDE SYNTHASE) 
Rv2381c	mbtD	43	5.8	2.4	0.249	-0.301	62.7	25.8	0.09	0.09	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	POLYKETIDE SYNTHETASE MBTD (POLYKETIDE SYNTHASE) 
Rv2382c	mbtC	17	2.3	8.7	-0.525	0.384	23.1	42.0	0.10	0.21	0.341169517866603	1.0	-	POLYKETIDE SYNTHETASE MBTC (POLYKETIDE SYNTHASE) 
Rv2383c	mbtB	50	29.7	32.1	-0.049	0.047	103.6	86.7	0.29	0.37	0.595776231966273	1.0	-	PHENYLOXAZOLINE SYNTHASE MBTB (PHENYLOXAZOLINE SYNTHETASE) 
Rv2384	mbtA	21	21.1	14.3	0.202	-0.235	88.8	46.2	0.24	0.31	0.799998816215135	1.0	-	BIFUNCTIONAL ENZYME MBTA: SALICYL-AMP LIGASE (SAL-AMP LIGASE) + SALICYL-S-ArCP SYNTHETASE 
Rv2385	mbtJ	19	251.1	218.1	0.096	-0.103	376.7	306.9	0.67	0.71	0.827027958399144	1.0	-	PUTATIVE ACETYL HYDROLASE MBTJ 
Rv2386c	mbtI	18	2.7	12.7	-0.723	0.480	48.5	91.5	0.06	0.14	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	salicylate synthase MbtI 
Rv2387	-	24	241.1	197.2	0.135	-0.149	304.6	242.8	0.79	0.81	0.78168972903167	1.0	-	hypothetical protein Rv2387 
Rv2388c	hemN	20	1655.4	246.6	0.796	-1.926	3103.9	365.4	0.53	0.68	0.00261249147086703	0.08474667454275976	-	coproporphyrinogen III oxidase 
Rv2389c	rpfD	10	254.5	440.6	-0.442	0.338	332.0	550.7	0.77	0.80	0.0487443267284878	0.5588789185249032	-	PROBABLE RESUSCITATION-PROMOTING FACTOR RPFD 
Rv2390c	-	6	336.5	339.8	-0.007	0.007	432.7	453.1	0.78	0.75	0.708484492821157	1.0	-	hypothetical protein Rv2390c 
Rv2391	nirA	19	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE FERREDOXIN-DEPENDENT NITRITE REDUCTASE NIRA 
Rv2392	cysH	13	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	phosphoadenosine phosphosulfate reductase 
Rv2393	-	7	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	hypothetical protein Rv2393 
Rv2394	ggtB	30	1432.7	172.3	0.832	-2.187	2046.7	229.7	0.70	0.75	0.000107458423253975	0.008407041348693339	-	PROBABLE GAMMA-GLUTAMYLTRANSPEPTIDASE PRECURSOR GGTB (GAMMA-GLUTAMYLTRANSFERASE) (GLUTAMYL TRANSPEPTIDASE) 
Rv2395	-	37	318.9	255.7	0.148	-0.165	528.3	411.4	0.60	0.62	0.883748270365711	1.0	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 
Rv2396	PE_PGRS41	14	202.1	314.2	-0.345	0.278	339.6	549.8	0.60	0.57	0.00632022848743841	0.17038994368161658	-	PE-PGRS FAMILY PROTEIN 
Rv2397c	cysA1	15	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE SULFATE-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER CYSA1 
Rv2398c	cysW	18	0.0	5.0	-0.572	0.408	2.6	89.3	0.02	0.06	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	PROBABLE SULFATE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER CYSW 
Rv2399c	cysT	10	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE SULFATE-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER CYST 
Rv2400c	subI	19	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE SULFATE-BINDING LIPOPROTEIN SUBI 
Rv2401	-	4	44.1	37.9	0.095	-0.102	105.9	101.0	0.42	0.38	0.828770232296147	1.0	-	hypothetical protein Rv2401 
Rv2401A	-	1	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	TA sites <= 1, not analyzed	POSSIBLE CONSERVED MEMBRANE PROTEIN 
Rv2402	-	28	208.7	258.0	-0.157	0.142	365.2	380.2	0.57	0.68	0.262871714863548	1.0	-	hypothetical protein Rv2402 
Rv2403c	lppR	7	70.8	39.2	0.337	-0.440	212.3	91.6	0.33	0.43	0.553527607893027	1.0	-	PROBABLE CONSERVED LIPOPROTEIN LPPR 
Rv2404c	lepA	30	82.0	159.3	-0.530	0.387	194.3	251.6	0.42	0.63	0.02034397855524	0.3429124630836868	-	GTP-binding protein LepA 
Rv2405	-	9	257.9	144.3	0.351	-0.465	366.4	185.5	0.70	0.78	0.790676094408844	1.0	-	hypothetical protein Rv2405 
Rv2406c	-	8	619.8	388.2	0.296	-0.372	743.7	477.8	0.83	0.81	0.915257078368658	1.0	-	hypothetical protein Rv2406c 
Rv2407	-	10	120.5	145.6	-0.138	0.126	212.7	291.3	0.57	0.50	0.179907162930943	0.9416832359444095	-	ribonuclease Z 
Rv2408	PE24	16	295.9	237.8	0.146	-0.163	383.9	281.9	0.77	0.84	0.868053532649768	1.0	-	POSSIBLE PE FAMILY-RELATED PROTEIN 
Rv2409c	-	20	184.4	171.4	0.050	-0.052	316.2	236.4	0.58	0.72	0.586959974330689	1.0	-	hypothetical protein Rv2409c 
Rv2410c	-	11	115.7	121.2	-0.033	0.032	293.6	296.2	0.39	0.41	0.664798036031849	1.0	-	hypothetical protein Rv2410c 
Rv2411c	-	24	556.3	630.2	-0.092	0.086	715.3	796.1	0.78	0.79	0.183639362794191	0.9416832359444095	-	hypothetical protein Rv2411c 
Rv2412	rpsT	1	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	TA sites <= 1, not analyzed	30S ribosomal protein S20 
Rv2413c	-	13	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	hypothetical protein Rv2413c 
Rv2414c	-	12	281.6	301.6	-0.050	0.048	533.5	556.9	0.53	0.54	0.756794605516097	1.0	-	hypothetical protein Rv2414c 
Rv2415c	-	14	129.3	157.9	-0.146	0.133	258.6	276.4	0.50	0.57	0.660343849740001	1.0	-	hypothetical protein Rv2415c 
Rv2416c	eis	28	15.2	34.4	-0.562	0.403	67.1	107.0	0.23	0.32	0.142541261536376	0.8662225510271792	-	hypothetical protein Rv2416c 
Rv2417c	-	12	39.8	27.7	0.210	-0.246	179.1	83.0	0.22	0.33	0.619716048504008	1.0	-	hypothetical protein Rv2417c 
Rv2418c	-	21	8.9	23.2	-0.603	0.424	111.5	162.5	0.08	0.14	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	hypothetical protein Rv2418c 
Rv2419c	-	7	33.0	24.3	0.175	-0.200	86.5	56.7	0.38	0.43	0.954017970946639	1.0	-	PROBABLE PHOSPHOGLYCERATE MUTASE (PHOSPHOGLYCEROMUTASE) 
Rv2420c	-	5	26.9	22.5	0.105	-0.113	404.0	112.3	0.07	0.20	0.454095380156245	1.0	-	hypothetical protein Rv2420c 
Rv2421c	nadD	14	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	nicotinic acid mononucleotide adenyltransferase 
Rv2422	-	4	851.4	144.0	0.769	-1.754	1277.2	192.0	0.67	0.75	0.290539504077112	1.0	-	hypothetical protein Rv2422 
Rv2423	-	18	224.9	240.5	-0.048	0.047	303.6	309.2	0.74	0.78	0.434237044309354	1.0	-	hypothetical protein Rv2423 
Rv2424c	-	7	228.3	165.6	0.208	-0.244	282.0	210.7	0.81	0.79	0.88626110828815	1.0	-	PROBABLE TRANSPOSASE 
Rv2425c	-	18	186.5	193.3	-0.025	0.025	314.7	257.7	0.59	0.75	0.390548182000101	1.0	-	hypothetical protein Rv2425c 
Rv2426c	-	10	236.6	222.1	0.044	-0.045	394.3	317.3	0.60	0.70	0.889134815719623	1.0	-	hypothetical protein Rv2426c 
Rv2427c	proA	16	22.7	16.7	0.166	-0.187	68.1	53.4	0.33	0.31	0.778369698878285	1.0	-	gamma-glutamyl phosphate reductase 
Rv2428	ahpC	9	6.1	15.0	-0.487	0.363	81.9	89.7	0.07	0.17	0.738118527829395	1.0	-	ALKYL HYDROPEROXIDE REDUCTASE C PROTEIN AHPC (ALKYL HYDROPEROXIDASE C) 
Rv2429	ahpD	13	93.5	101.6	-0.058	0.056	140.2	146.7	0.67	0.69	0.65481951983939	1.0	-	ALKYL HYDROPEROXIDE REDUCTASE D PROTEIN AHPD (ALKYL HYDROPEROXIDASE D) 
Rv2430c	PPE41	10	81.8	47.2	0.321	-0.414	163.7	85.8	0.50	0.55	0.839929176632569	1.0	-	PPE FAMILY PROTEIN 
Rv2431c	PE25	6	54716.4	526.7	0.986	-5.699	89535.9	902.9	0.61	0.58	0.0799673514029537	0.7018128865692673	-	PE FAMILY PROTEIN 
Rv2432c	-	7	252.6	154.2	0.306	-0.389	589.5	431.8	0.43	0.36	0.758660441247405	1.0	-	hypothetical protein Rv2432c 
Rv2433c	-	6	57.4	39.1	0.228	-0.271	172.2	156.5	0.33	0.25	0.725068951068819	1.0	-	hypothetical protein Rv2433c 
Rv2434c	-	25	23.0	41.5	-0.411	0.319	95.9	121.9	0.24	0.34	0.289509990286998	1.0	-	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN 
Rv2435c	-	56	51.7	39.7	0.161	-0.181	170.3	111.3	0.30	0.36	0.91009052969229	1.0	-	PROBABLE CYCLASE (ADENYLYL-OR GUANYLYL-)(ADENYLATE-OR GUANYLATE-) 
Rv2436	rbsK	12	75.9	29.4	0.488	-0.743	182.1	78.5	0.42	0.38	0.551149721103928	1.0	-	RIBOKINASE RBSK 
Rv2437	-	9	78.7	50.4	0.267	-0.328	193.2	151.2	0.41	0.33	0.747415071036306	1.0	-	hypothetical protein Rv2437 
Rv2438c	nadE	39	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	NAD synthetase 
Rv2438A	-	5	26.6	53.4	-0.511	0.376	132.9	267.0	0.20	0.20	0.134310223191836	0.8426065888921787	-	hypothetical protein Rv2438A 
Rv2439c	proB	12	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	gamma-glutamyl kinase 
Rv2440c	obgE	12	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	GTPase ObgE 
Rv2441c	rpmA	4	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	50S ribosomal protein L27 
Rv2442c	rplU	4	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	50S ribosomal protein L21 
Rv2443	dctA	21	299.4	173.0	0.336	-0.438	401.3	234.4	0.75	0.74	0.778752268643137	1.0	-	PROBABLE C4-DICARBOXYLATE-TRANSPORT TRANSMEMBRANE PROTEIN DCTA 
Rv2444c	rne	32	14.0	4.5	0.416	-0.587	167.7	57.2	0.08	0.08	1.0	1.0	low saturation (<15%) across all conditions (pan-growth-defect) - not analyzed	POSSIBLE RIBONUCLEASE E RNE 
Rv2445c	ndk	4	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	nucleoside diphosphate kinase 
Rv2446c	-	7	162.7	249.2	-0.331	0.269	262.8	387.6	0.62	0.64	0.239120833838798	1.0	-	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN 
Rv2447c	folC	13	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	PROBABLE FOLYLPOLYGLUTAMATE SYNTHASE PROTEIN FOLC (FOLYLPOLY-GAMMA-GLUTAMATE SYNTHETASE) (FPGS) 
Rv2448c	valS	28	0.0	0.0	0.000	0.000	0.0	0.0	0.00	0.00	1.0	1.0	pan-essential (no counts in all conditions) - not analyzed	valyl-tRNA synthetase 
Rv2449c	-	26	175.0	211.7	-0.140	0.128	278.5	305.8	0.63	0.69	0.155876264496709	0.9019824158466069	-	hypothetical protein Rv2449c 
Rv2450c	rpfE	8	191.8	187.0	0.018	-0.018	270.8	249.4	0.71	0.75	0.751428771022959	1.0	-	PROBABLE RESUSCITATION-PROMOTING FACTOR RPFE 
Rv2451	-	8	62.3	51.1	0.126	-0.138	166.3	116.8	0.38	0.44	0.986140479182261	1.0	-	HYPOTHETICAL PROLINE AND SERINE RICH PROTEIN 
Rv2452c	-	7	74.6	37.1	0.387	-0.531	195.8	173.3	0.38	0.21	0.35517285127278	1.0	-	hypothetical protein Rv2452c 
Rv2453c	mobA	5	203.4	231.2	-0.093	0.088	381.4	289.0	0.53	0.80	0.515499553530253	1.0	-	molybdopterin-guanine dinucleotide biosynthesis protein A 
